y,lag1,lag2,lag3,lag4,lag5,volprev,date
1,0.0901,-0.0357,0.0204,-0.0406,0.0311,175992.735898869,2018-03-07 00:00:00
1,0.0719,0.0901,-0.0357,0.0204,-0.0406,209083.621660177,2018-03-06 00:00:00
1,0.0588,0.0719,0.0901,-0.0357,0.0204,129044.862324405,2018-03-05 00:00:00
0,0.0442,0.0588,0.0719,0.0901,-0.0357,80085.8706118005,2018-03-04 00:00:00
1,-0.0232,0.0442,0.0588,0.0719,0.0901,70992.2986031966,2018-03-03 00:00:00
0,0.0084,-0.0232,0.0442,0.0588,0.0719,82371.5058308446,2018-03-02 00:00:00
0,-0.0312,0.0084,-0.0232,0.0442,0.0588,88789.7383152185,2018-03-01 00:00:00
0,-0.0308,-0.0312,0.0084,-0.0232,0.0442,101114.912614946,2018-02-28 00:00:00
0,-0.0027,-0.0308,-0.0312,0.0084,-0.0232,102950.966574424,2018-02-27 00:00:00
0,-0.0067,-0.0027,-0.0308,-0.0312,0.0084,113666.003571911,2018-02-26 00:00:00
0,-0.0609,-0.0067,-0.0027,-0.0308,-0.0312,135954.275709926,2018-02-25 00:00:00
1,-0.0308,-0.0609,-0.0067,-0.0027,-0.0308,90396.2761002602,2018-02-24 00:00:00
1,0.0344,-0.0308,-0.0609,-0.0067,-0.0027,141443.088469722,2018-02-23 00:00:00
1,0.0078,0.0344,-0.0308,-0.0609,-0.0067,155370.575259721,2018-02-22 00:00:00
1,0.026,0.0078,0.0344,-0.0308,-0.0609,196579.67059961,2018-02-21 00:00:00
1,0.0505,0.026,0.0078,0.0344,-0.0308,209203.768727382,2018-02-20 00:00:00
0,0.0662,0.0505,0.026,0.0078,0.0344,167632.829229506,2018-02-19 00:00:00
0,-0.0553,0.0662,0.0505,0.026,0.0078,122494.158758802,2018-02-18 00:00:00
0,-0.0132,-0.0553,0.0662,0.0505,0.026,170317.176761685,2018-02-17 00:00:00
0,-0.0041,-0.0132,-0.0553,0.0662,0.0505,136317.727412682,2018-02-16 00:00:00
0,-0.0614,-0.0041,-0.0132,-0.0553,0.0662,119637.214220899,2018-02-15 00:00:00
0,-0.0222,-0.0614,-0.0041,-0.0132,-0.0553,189683.716180008,2018-02-14 00:00:00
0,-0.0797,-0.0222,-0.0614,-0.0041,-0.0132,151821.48910077,2018-02-13 00:00:00
1,-0.0446,-0.0797,-0.0222,-0.0614,-0.0041,108860.20633287,2018-02-12 00:00:00
0,0.001,-0.0446,-0.0797,-0.0222,-0.0614,139813.355515945,2018-02-11 00:00:00
1,-0.0498,0.001,-0.0446,-0.0797,-0.0222,130333.601605137,2018-02-10 00:00:00
